"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"TP16,TP15,TP12,TP11,TP14,TP13,TP2,TP1,TP6,TP5,TP10,TP9,TP8,TP7,TP4,TP3";"TestPoint_THTPad_D2.0mm_Drill1.0mm";16;"TestPoint_Small";;;
2;"U1";"Virtual_Digital_module";1;"Virtual_Digital_module";;;
3;"U2";"Virtual_Interface_module";1;"Virtual_Interface_module";;;
4;"XP1";"DG141R-2.54-12P-14-00A(H)";1;"DG141R-6x2P";;;
5;"XP4";"DG141R-2.54-07P-14-00A(H)";1;"DG141R-07P";;;
6;"U3";"Temperature_module";1;"Temperature_module";;;
7;"XP5";"XY122R-5.08-06P-14";1;"DG142R-3x2P";;;
8;"XP2";"XY122R-5.08-02P-14";1;"DG142R-02P";;;
9;"XP6";"DG141R-2.54-02P-14-00A(H)";1;"DG141R-02P";;;
10;"U6";"J-ACDC10W2010-6E";1;"J-ACDC10W2010-6E";;;
11;"U4";"Power_analyzer";1;"Power_analyzer";;;
12;"U5";"DC12003";1;"DC12003";;;
13;"U7";"Load_control_module";1;"Load_control_module";;;
14;"U8";"Fan_control_module";1;"Fan_control_module";;;
15;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"5V_en";;;
16;"RV1,RV2";"RV_Disc_D7mm_W4.5mm_P5mm";2;"470V";;;
17;"F2,F1";"FC-05C-E_4x15";2;"0.5A";;;
18;"XP3";"XY122R-5.08-2P-14";1;"DG142R-02P";;;
